cell_line,drug,true_auc,pred_auc
LOVO,Epirubicin,0.754561,6.8485e-01
T24,Tanespimycin,0.874167,9.0713e-01
PANC1005,Dinaciclib,0.690099,6.4523e-01
MHHCALL4,Ibrutinib,0.969975,9.5818e-01
LCLC97TM1,Pyridostatin,0.987,9.3481e-01
JVM2,Leflunomide,0.78914,8.1025e-01
SCC4,Ulixertinib,0.938617,8.8320e-01
LU65,Avagacestat,0.973508,9.6259e-01
SNU423,LGK974,0.983472,9.6395e-01
CORL105,LGK974,0.924622,9.5218e-01
GRANTA519,AZD1332,0.986459,9.5525e-01
MOLM16,Rucaparib,0.951031,9.4696e-01
BCPAP,Picolinici-acid,0.975307,9.7491e-01
HT,GSK591,0.901161,8.8746e-01
PL21,BIBR-1532,0.980588,9.6925e-01
MESSA,AZD1332,0.919561,9.2559e-01
NCIH1975,Sabutoclax,0.607323,5.7829e-01
HEL,SGC0946,0.992273,9.7669e-01
NB4,BI-2536,0.347321,3.9745e-01
HGC27,Cytarabine,0.922232,8.9358e-01
NCIH716,PLX-4720,0.953582,9.0623e-01
DMS79,Elephantin,0.921127,9.1257e-01
NCIH2342,YK-4-279,0.959725,9.0016e-01
HL60,Methotrexate,0.503754,6.2062e-01
NCIH2085,Lenalidomide,0.976429,9.7563e-01
DU4475,LCL161,0.988264,9.5725e-01
SUDHL4,VE-822,0.880742,8.4638e-01
RPMI8226,PRIMA-1MET,0.875515,8.7043e-01
OAW42,Gefitinib,0.976765,9.5884e-01
TT2609C02,Buparlisib,0.813891,9.0159e-01
LXF289,PD0325901,0.935056,8.5571e-01
EFO27,Entinostat,0.874745,8.6801e-01
RVH421,I-BET-762,0.980781,9.3641e-01
EM2,PRT062607,0.936191,8.9162e-01
BCPAP,Vinorelbine,0.602913,8.0490e-01
NCIH1876,MK-1775,0.520359,6.1120e-01
SNUC5,Irinotecan,0.873525,8.6296e-01
CAL33,VX-11e,0.928369,9.1200e-01
YKG1,GSK2606414,0.970765,9.5269e-01
OVTOKO,EHT-1864,0.958099,9.3851e-01
HCT116,AZD5363,0.902836,8.9290e-01
MCF7,AZD5438,0.89326,8.7670e-01
OVK18,Pevonedistat,0.677311,6.8615e-01
KARPAS422,Doramapimod,0.985879,9.7206e-01
C32,Gemcitabine,0.563325,6.0083e-01
SKNSH,TW-37,0.784763,8.1972e-01
LN229,Cisplatin,0.98679,9.5216e-01
L1236,Navitoclax,0.420368,6.8369e-01
SUPM2,AGI-6780,0.895152,9.5349e-01
P12ICHIKAWA,AT13148,0.784012,8.9897e-01
OV90,PFI-1,0.946048,9.4925e-01
HCC33,GDC0810,0.990753,9.7502e-01
MG63,ZM447439,0.981058,8.6873e-01
HOP92,AZD8186,0.917184,9.3381e-01
L428,Dasatinib,0.984132,8.7525e-01
HUH7,Cediranib,0.809195,9.1301e-01
LOXIMVI,XAV939,0.984447,9.5318e-01
REH,AGI-6780,0.970824,9.6773e-01
NCIH2172,Picolinici-acid,0.987083,9.7715e-01
THP1,Nilotinib,0.930568,7.5441e-01
MHHCALL4,Tozasertib,0.574176,6.5123e-01
SF268,AZD5363,0.953195,9.1880e-01
U87MG,Dacarbazine,0.969636,9.7225e-01
FADU,Talazoparib,0.83739,7.8121e-01
SBC5,Elephantin,0.789742,8.7811e-01
SNU1,PRT062607,0.980821,9.1838e-01
NCIH2030,Doramapimod,0.906195,9.6693e-01
KG1,LY2109761,0.990218,9.7583e-01
NCIH716,SN-38,0.952783,8.9016e-01
SKM1,BX795,0.905528,8.3707e-01
HCC1569,Selumetinib,0.95245,9.3704e-01
CORL279,Cediranib,0.783741,8.6658e-01
SNUC1,AZD1332,0.975718,9.1822e-01
YAPC,XAV939,0.950278,9.6382e-01
SF295,Cediranib,0.866886,8.8320e-01
BICR22,Savolitinib,0.980526,9.6842e-01
SF268,Romidepsin,0.738149,8.6159e-01
PF382,Elephantin,0.771426,8.3474e-01
A704,Bleomycin(50uM),0.952882,8.8387e-01
RPMI7951,Teniposide,0.572062,5.9277e-01
MESSA,Trametinib,0.949411,9.0249e-01
G402,Ibrutinib,0.934778,9.4781e-01
MDAMB436,AZ960,0.961155,9.0205e-01
SKMEL24,MIM1,0.954461,8.6525e-01
MM1S,ICL-SIRT078,0.951601,9.3108e-01
SKMEL31,MK-8776,0.96901,9.4633e-01
8MGBA,Sepantronium-bromide,0.048311,1.1493e-01
OE21,AZD8055,0.731608,7.7654e-01
CORL311,Docetaxel,0.795285,8.5381e-01
PANC1005,Ribociclib,0.961037,9.6907e-01
QGP1,Docetaxel,0.853271,8.8585e-01
NCIH1650,BI-2536,0.900353,8.5745e-01
JHH4,Bortezomib,0.784195,8.1391e-01
NCIH1651,MG-132,0.504592,6.2644e-01
RCM1,YK-4-279,0.972146,8.6399e-01
SW1271,IWP-2,0.949134,9.7353e-01
CAS1,Entospletinib,0.95028,9.3339e-01
RVH421,Bicalutamide,0.933427,9.7152e-01
KYSE520,LCL161,0.957287,9.6491e-01
RVH421,EPZ004777,0.97508,9.7439e-01
PANC0203,LJI308,0.964104,9.6687e-01
RCC10RGB,JNK-Inhibitor-VIII,0.957959,9.7170e-01
C32,Erlotinib,0.977794,9.3504e-01
MESSA,Taselisib,0.764692,8.1592e-01
HS766T,Temozolomide,0.970277,9.7022e-01
PF382,Alpelisib,0.94382,9.4176e-01
TE1,Acetalax,0.755536,9.0300e-01
NCIH661,Navitoclax,0.954665,9.4678e-01
SIMA,VX-11e,0.796974,8.7689e-01
HCT15,Cisplatin,0.951566,9.1787e-01
KALS1,BI-2536,0.779409,7.6105e-01
LCLC97TM1,AZD4547,0.984159,9.5059e-01
A2780,NU7441,0.884496,8.2043e-01
COLO684,5-Fluorouracil,0.947046,9.1455e-01
COLO792,Taselisib,0.755528,8.6212e-01
NCIH2342,Oxaliplatin,0.977388,9.5582e-01
NCIH2342,SB590885,0.984026,9.7106e-01
MDAMB453,PRT062607,0.886238,8.8996e-01
SKNSH,Ulixertinib,0.909443,8.7285e-01
SH4,AZ6102,0.771592,8.4631e-01
UACC812,AZ6102,0.894128,9.2103e-01
NCIH1781,Lestaurtinib,0.837417,8.1668e-01
D283MED,Teniposide,0.564945,5.0043e-01
KG1,YK-4-279,0.622542,7.8110e-01
IALM,AZD5991,0.978997,9.2871e-01
COLO783,Gemcitabine,0.38424,3.9882e-01
RMGI,WIKI4,0.927696,8.8985e-01
JVM3,SN-38,0.611036,5.4947e-01
C32,GSK269962A,0.914387,8.9823e-01
TE441T,Methotrexate,0.974211,8.7744e-01
TALL1,AZ6102,0.847899,8.0389e-01
L1236,Dactinomycin,0.982878,9.1992e-01
NUDUL1,EHT-1864,0.979124,9.0548e-01
EFM192A,Tanespimycin,0.866396,8.4100e-01
NCIH661,Vinorelbine,0.876463,8.4971e-01
KMS12BM,XAV939,0.976359,9.6421e-01
OVCAR8,AZD1332,0.945537,9.4334e-01
TE10,Cediranib,0.872278,8.5628e-01
NCIH358,Pyridostatin,0.902732,9.3592e-01
NCIH522,Vorinostat,0.948812,8.6120e-01
C2BBE1,OF-1,0.891265,9.4394e-01
OCIAML5,Palbociclib,0.916,8.9270e-01
KPNRTBM1,AGI-6780,0.988204,9.6510e-01
769P,Temozolomide,0.984826,9.7024e-01
HCT116,PFI-1,0.931463,9.4051e-01
NCIH2110,Foretinib,0.771782,7.4629e-01
RCHACV,Axitinib,0.713594,7.7202e-01
DANG,POMHEX,0.848846,7.9471e-01
NCIH1648,Ulixertinib,0.745752,8.0604e-01
SW1573,JQ1,0.934009,8.7620e-01
SNU423,CCT007093,0.977678,9.7540e-01
IGR37,EPZ5676,0.990147,9.7579e-01
LS123,Bleomycin(50uM),0.826949,8.5836e-01
IGROV1,Dactolisib,0.691172,6.9550e-01
TGBC11TKB,VE821,0.784339,9.2343e-01
NCIH2172,Nutlin-3a(-),0.970321,9.7085e-01
BICR22,Dactolisib,0.919098,8.2628e-01
GCT,5-Fluorouracil,0.901599,9.2671e-01
HT144,Avagacestat,0.978703,9.6718e-01
SKHEP1,MK-1775,0.884706,7.6235e-01
TE10,Osimertinib,0.942082,9.0362e-01
MDAMB415,ICL-SIRT078,0.979001,9.5392e-01
AU565,Pictilisib,0.709027,7.5901e-01
COLO684,UMI-77,0.829437,9.0586e-01
SUDHL4,Serdemetan,0.965158,8.9959e-01
IPC298,AZD6738,0.798709,7.8619e-01
UACC62,Schweinfurthin-A,0.842987,9.1938e-01
NCIH2291,KU-55933,0.965627,9.6703e-01
RCM1,Dactinomycin,0.969625,9.0793e-01
MOLM13,AGI-5198,0.974542,9.5818e-01
CAMA1,Bortezomib,0.72284,8.2036e-01
JEKO1,ABT737,0.77362,6.2854e-01
COLO792,Bosutinib,0.961888,9.5064e-01
CORL23,Pevonedistat,0.739867,7.7728e-01
KNS62,Lestaurtinib,0.925426,8.7033e-01
EFO27,Afatinib,0.814586,7.2286e-01
GI1,Epirubicin,0.800697,7.1308e-01
BT20,Paclitaxel,0.822582,9.4402e-01
HCC1428,AZD8186,0.977675,9.5097e-01
HUPT3,I-BRD9,0.934938,9.5756e-01
NCIH524,AZD7762,0.617629,5.5340e-01
MDAMB468,Venetoclax,0.962003,9.7160e-01
HOP92,WZ4003,0.921495,9.4714e-01
YKG1,PD173074,0.939489,9.5349e-01
NCIH2228,POMHEX,0.901657,8.0850e-01
NCIH1623,BIBR-1532,0.955384,9.7328e-01
T47D,PLX-4720,0.96722,9.6186e-01
SKMEL1,Lestaurtinib,0.697934,8.5041e-01
CHAGOK1,IWP-2,0.984855,9.7573e-01
KCL22,LCL161,0.988474,9.5835e-01
MOLM16,Temsirolimus,0.968443,8.0766e-01
SW1463,BI-2536,0.827837,8.9602e-01
TE5,Sabutoclax,0.754935,6.8541e-01
NCIH1568,SB590885,0.973684,9.6790e-01
REH,Bleomycin(50uM),0.611119,7.0449e-01
A172,Vismodegib,0.970689,9.6880e-01
NCIH1436,LJI308,0.942509,9.7494e-01
OAW42,EPZ5676,0.98289,9.7558e-01
MG63,AGI-6780,0.974983,9.6305e-01
SW837,Fulvestrant,0.970802,9.7525e-01
T24,VE821,0.976025,9.4962e-01
HCC827,Gemcitabine,0.897392,7.0247e-01
CW2,Schweinfurthin-A,0.990963,9.3837e-01
SH4,Uprosertib,0.934355,9.0420e-01
NMCG1,SCH772984,0.948712,9.0091e-01
IGR1,EPZ004777,0.986223,9.7593e-01
NCIH1092,Palbociclib,0.976854,9.4889e-01
SW780,GDC0810,0.98328,9.7428e-01
HCC827,Sepantronium-bromide,0.178363,1.8343e-01
HCC1187,P22077,0.966581,9.6100e-01
NCIH1155,GSK2606414,0.947654,9.4098e-01
LS513,Irinotecan,0.872274,8.6735e-01
HCC2157,CCT007093,0.988648,9.7507e-01
RD,Camptothecin,0.936562,8.8692e-01
RS411,PD0325901,0.991213,9.3666e-01
PSN1,AMG-319,0.981797,9.6733e-01
AMO1,I-BET-762,0.667758,7.7129e-01
SCC25,VE821,0.979038,9.6500e-01
RPMI8402,Serdemetan,0.894673,8.8095e-01
SW620,ICL-SIRT078,0.978536,9.4292e-01
KMRC1,Trametinib,0.914103,8.9068e-01
SW1573,NVP-ADW742,0.95942,9.3347e-01
NCIH1975,Savolitinib,0.92544,9.6060e-01
RAJI,SCH772984,0.980218,9.3528e-01
NCIH508,AZD8055,0.788446,7.0134e-01
FTC133,BIBR-1532,0.982384,9.7466e-01
CORL105,Camptothecin,0.950578,9.1648e-01
LS123,PRIMA-1MET,0.827284,9.2667e-01
HEP3B217,SGC0946,0.978019,9.7013e-01
TE5,Ibrutinib,0.968839,8.7466e-01
NCIH23,Palbociclib,0.991827,9.3204e-01
KMS11,Elesclomol,0.745824,7.0379e-01
BECKER,Nilotinib,0.984653,9.6158e-01
OVCAR8,PLX-4720,0.976899,9.5998e-01
REH,Wee1-Inhibitor,0.85202,8.0855e-01
SU8686,Sabutoclax,0.746468,7.7327e-01
VMRCRCZ,Motesanib,0.975013,9.7714e-01
COLO678,Dinaciclib,0.799999,7.9506e-01
NCIH1838,Vorinostat,0.830471,9.0169e-01
NCIH596,Uprosertib,0.854595,8.8492e-01
KU1919,Vorinostat,0.622372,7.3473e-01
NCIH2122,AZD5991,0.812299,7.7316e-01
IPC298,NU7441,0.855233,8.7817e-01
HCC1937,Temsirolimus,0.937412,9.3874e-01
CORL105,MK-8776,0.947551,9.5068e-01
YAPC,Vinblastine,0.922077,8.1608e-01
LCLC103H,ML323,0.912045,9.5364e-01
LAMA84,Bleomycin(50uM),0.89685,7.1033e-01
BL41,SN-38,0.744224,8.2121e-01
GRANTA519,AZD5582,0.832699,8.1083e-01
MHHNB11,Nutlin-3a(-),0.759334,9.0293e-01
BXPC3,GSK2606414,0.876292,9.4492e-01
COLO792,Ibrutinib,0.984843,9.5006e-01
MEWO,Palbociclib,0.932219,9.4652e-01
KMRC1,Vinblastine,0.850616,8.0783e-01
MDST8,GW441756,0.978858,9.6828e-01
A2780,AZD8186,0.767901,8.1783e-01
SW948,BMS-754807,0.49619,7.7887e-01
CHP126,KRAS(G12C)Inhibitor-12,0.848501,9.1647e-01
NCIH1963,Wnt-C59,0.838459,9.6219e-01
HDQP1,AZD5438,0.860211,8.8531e-01
SKNFI,Vorinostat,0.75973,8.3451e-01
PANC0813,ICL-SIRT078,0.971593,9.6133e-01
HOP92,Niraparib,0.937456,9.6490e-01
UACC62,L-Oxonoreleagnine,0.977178,9.6794e-01
SW1463,MK-1775,0.72494,8.4267e-01
HS766T,BMS-754807,0.969343,8.6280e-01
OE19,AZ6102,0.836738,8.7401e-01
CORL311,PCI-34051,0.968152,9.5407e-01
HCC366,Leflunomide,0.912316,9.1206e-01
SKM1,SN-38,0.031391,5.2320e-01
ONS76,Camptothecin,0.872325,8.4993e-01
C2BBE1,Zoledronate,0.963275,9.7531e-01
NCIH196,AZD5153,0.936619,9.0424e-01
HARA,Lenalidomide,0.969273,9.7343e-01
NCIH929,KU-55933,0.94048,9.6086e-01
TYKNU,Ipatasertib,0.935438,9.2119e-01
NCIH1876,MK-2206,0.907709,8.5525e-01
RERFLCKJ,SB216763,0.97529,9.7181e-01
SIMA,ABT737,0.576274,5.9268e-01
OCIAML5,PFI3,0.992365,9.7334e-01
TE11,P22077,0.968459,9.3137e-01
T47D,Tanespimycin,0.97441,8.4973e-01
NCIH2172,KU-55933,0.988429,9.7598e-01
NCIH2023,AZD5363,0.892085,8.6953e-01
HCC1937,MK-8776,0.86692,9.5979e-01
EM2,BMS-754807,0.705527,6.4901e-01
KMRC20,Acetalax,0.964461,9.2750e-01
HCC366,BMS-345541,0.871909,9.1770e-01
ES2,KU-55933,0.98366,9.6903e-01
HDLM2,AGI-5198,0.933487,9.7217e-01
UACC812,Vinorelbine,0.883277,8.8230e-01
EKVX,AZD1208,0.958187,9.7284e-01
CHAGOK1,LY2109761,0.975714,9.7366e-01
NALM6,OF-1,0.973991,9.4405e-01
697,JQ1,0.435678,4.8961e-01
NCIH2052,Ipatasertib,0.923776,9.3169e-01
BFTC905,AZD1332,0.890761,9.0715e-01
HCC78,Temsirolimus,0.922048,8.8667e-01
U118MG,BIBR-1532,0.929121,9.7410e-01
NCIH522,GSK1904529A,0.973773,9.7145e-01
C2BBE1,BMS-345541,0.881445,9.2954e-01
PSN1,Dabrafenib,0.846754,8.9879e-01
NCIN87,PCI-34051,0.952248,9.5754e-01
SIGM5,BX795,0.678471,8.4512e-01
MFE296,PRIMA-1MET,0.970096,9.5457e-01
BT20,SCH772984,0.939614,9.4174e-01
L363,Vinblastine,0.433321,6.5858e-01
SKNAS,GNE-317,0.755508,7.7083e-01
SAOS2,VE-822,0.976466,9.3581e-01
GRANTA519,Dihydrorotenone,0.877382,9.3862e-01
P12ICHIKAWA,MK-2206,0.709755,8.2885e-01
FUOV1,Rucaparib,0.970867,9.6911e-01
COLO668,AGI-6780,0.937839,9.6652e-01
DANG,MIRA-1,0.980039,9.6997e-01
COLO792,RVX-208,0.97298,9.6536e-01
HCC1937,Venetoclax,0.964618,9.6810e-01
HH,Sabutoclax,0.866844,6.5870e-01
CAL12T,SB505124,0.979352,9.2786e-01
DMS114,Ruxolitinib,0.985321,9.7007e-01
NCIH146,Nilotinib,0.891715,8.3206e-01
NCIH2081,KRAS(G12C)Inhibitor-12,0.975019,9.2484e-01
MKN7,Linsitinib,0.951646,9.5971e-01
HUPT3,Epirubicin,0.79197,8.3024e-01
CORL105,Afuresertib,0.806201,8.0692e-01
NOMO1,Bleomycin(50uM),0.904628,7.7608e-01
KM12,P22077,0.920139,9.3643e-01
U2OS,Romidepsin,0.810983,8.6726e-01
SUDHL5,AZD7762,0.184651,3.3674e-01
MFE296,POMHEX,0.783869,9.0014e-01
NCIH661,AZD2014,0.970444,8.9450e-01
A549,AMG-319,0.968602,9.5681e-01
HCC1599,BMS-345541,0.835538,8.9720e-01
HGC27,LMP744,0.940035,6.3364e-01
HCC1500,ZM447439,0.945341,9.3349e-01
KYM1,SGC-CBP30,0.949698,9.6756e-01
